,,,,,y0,x0,,,,,,,
,,,,,-250.1,-148.90,,,,,,,
,,,"relative to center, bottom",,,,,,,set of six,set of four,,
Beam energy (GeV),Collimator,Run #,dy,dx,ypos (mm),xpos (mm),ypos (actual),xpos (actual),n_events,bias (V),bias (V),notes,prelim results notes
5,2mm x 2mm,325,45.00,10,-205.1,-138.90,-205.10,-138.90,10000,57.000,45.000,,
5,2mm x 2mm,326,45.00,15,-205.1,-133.90,-205.10,-133.90,10000,57.000,45.000,,
5,2mm x 2mm,327,45.00,20,-205.1,-128.90,-205.10,-128.90,10000,57.000,45.000,,
5,2mm x 2mm,328,45.00,25,-205.1,-123.90,-205.10,-123.90,10000,57.000,45.000,,
5,2mm x 2mm,329,45.00,30,-205.1,-118.90,-205.10,-118.90,10000,57.000,45.000,,
5,2mm x 2mm,330,45.00,35,-205.1,-113.90,-205.10,-113.90,10000,57.000,45.000,,
5,2mm x 2mm,331,45.00,40,-205.1,-108.90,-205.10,-108.90,10000,57.000,45.000,,
5,2mm x 2mm,332,45.00,45,-205.1,-103.90,-205.10,-104.00,10000,57.000,45.000,,
5,2mm x 2mm,333,45.00,50,-205.1,-98.90,-205.10,-98.90,10000,57.000,45.000,,
,,,,,,,,,,,,,
5,2mm x 2mm,334,10.00,-50,-240.1,-198.90,-240.10,-198.90,10000,57.000,45.000,Lightning strike took out the beam,
5,2mm x 2mm,335,10.00,-45,-240.1,-193.90,-240.10,?,10000,57.000,45.000,Lightning strike took out the beam,
,,,,,,,,,,,,,
5,2mm x 2mm,336,10.00,-50,-240.1,-198.90,-240.10,-198.90,10000,57.000,45.000,"PUMAS in series, in front -> all channels working",
5,2mm x 2mm,337,10.00,-45,-240.1,-193.90,-240.10,-193.90,10000,57.000,45.000,,
5,2mm x 2mm,338,10.00,-40,-240.1,-188.90,-240.10,-188.90,10000,57.000,45.000,,
5,2mm x 2mm,339,10.00,-35,-240.1,-183.90,-240.10,-183.90,10000,57.000,45.000,,
5,2mm x 2mm,340,10.00,-30,-240.1,-178.90,-240.10,-178.90,10000,57.000,45.000,,
5,2mm x 2mm,341,10.00,-25,-240.1,-173.90,-240.10,-173.90,10000,57.000,45.000,,
5,2mm x 2mm,342,10.00,-20,-240.1,-168.90,-240.10,-168.90,10000,57.000,45.000,,
5,2mm x 2mm,343,10.00,-15,-240.1,-163.90,-240.10,-163.90,10000,57.000,45.000,,
5,2mm x 2mm,344,10.00,-10,-240.1,-158.90,-240.10,-158.90,10000,57.000,45.000,,
5,2mm x 2mm,345,10.00,-5,-240.1,-153.90,-240.10,-153.90,10000,57.000,45.000,,
5,2mm x 2mm,346,10.00,0,-240.1,-148.90,-240.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,347,10.00,5,-240.1,-143.90,-240.10,-143.90,10000,57.000,45.000,,
5,2mm x 2mm,348,10.00,10,-240.1,-138.90,-240.10,-138.90,10000,57.000,45.000,,
5,2mm x 2mm,349,10.00,15,-240.1,-133.90,-240.10,-133.90,10000,57.000,45.000,,
5,2mm x 2mm,350,10.00,20,-240.1,-128.90,-240.10,-128.90,10000,57.000,45.000,,
5,2mm x 2mm,351,10.00,25,-240.1,-123.90,-240.10,-123.90,10000,57.000,45.000,,
5,2mm x 2mm,352,10.00,30,-240.1,-118.90,-240.10,-118.90,10000,57.000,45.000,,
5,2mm x 2mm,353,10.00,35,-240.1,-113.90,-240.10,-113.90,10000,57.000,45.000,,
5,2mm x 2mm,354,10.00,40,-240.1,-108.90,-240.10,-108.90,10000,57.000,45.000,,
5,2mm x 2mm,355,10.00,45,-240.1,-103.90,-240.10,-103.90,10000,57.000,45.000,,
5,2mm x 2mm,356,10.00,50,-240.1,-98.90,-240.10,-98.90,10000,57.000,45.000,,
